investor_id,age,gender,city,city_tier,risk_profile,kyc_status,annual_income_lakh,occupation,pan_verified,registration_date
INV00030,43,M,Ranchi,B30,Aggressive,Verified,31.2,Retired,True,2024-05-05
INV00031,37,F,Varanasi,B30,Moderate,Verified,24.3,Student,True,2020-01-19
INV00032,58,F,Ludhiana,B30,Aggressive,Verified,48.3,Business,False,2022-07-19
INV00033,60,M,Jaipur,T30,Moderate,Verified,36.4,Salaried,True,2019-01-30
INV00034,57,F,Lucknow,B30,Conservative,Verified,42.7,Business,True,2022-12-24
INV00035,38,F,Visakhapatnam,B30,Moderate,Pending,18.8,Salaried,True,2024-10-08
INV00036,59,F,Kochi,B30,Aggressive,Verified,14.4,Student,True,2022-10-26
INV00037,39,M,Pune,T30,Moderate,Verified,25.7,Business,False,2023-05-19
INV00038,60,M,Indore,B30,Moderate,Verified,44.1,Student,False,2019-07-29
INV00039,29,M,Patna,B30,Conservative,Verified,66.3,Student,True,2024-01-06
INV00040,25,M,Amritsar,B30,Conservative,Verified,64.7,Business,True,2024-05-29
INV00041,56,F,Kochi,B30,Conservative,Verified,39.4,Retired,True,2023-11-17
INV00042,65,F,Ludhiana,B30,Conservative,Verified,37.0,Self-Employed,True,2018-08-31
INV00043,58,M,Guwahati,B30,Conservative,Verified,44.5,Salaried,True,2018-06-08
INV00044,39,F,Agra,B30,Moderate,Verified,20.4,Retired,True,2025-01-14
INV00045,61,F,Ahmedabad,T30,Aggressive,Verified,68.5,Self-Employed,True,2020-03-06
INV00046,31,M,Ahmedabad,T30,Aggressive,Verified,75.9,Self-Employed,True,2018-04-23
INV00047,36,M,Amritsar,B30,Moderate,Verified,6.9,Business,True,2021-11-26
INV00048,23,M,Agra,B30,Conservative,Verified,99.1,Retired,True,2024-03-12
INV00049,39,F,Agra,B30,Conservative,Verified,9.8,Business,True,2024-07-25
INV00050,48,M,Meerut,B30,Conservative,Verified,66.2,Salaried,True,2021-08-12
INV00051,33,M,Kolkata,T30,Moderate,Verified,18.6,Salaried,True,2020-01-17
INV00052,64,F,Ahmedabad,T30,Moderate,Verified,77.8,Self-Employed,True,2022-11-29
INV00053,46,F,Agra,B30,Conservative,Verified,48.0,Business,True,2019-08-31
INV00054,27,F,Meerut,B30,Aggressive,Verified,17.2,Student,True,2022-07-26
INV00055,46,F,Hyderabad,T30,Conservative,Verified,47.4,Self-Employed,True,2020-05-07
INV00056,35,F,Jaipur,T30,Moderate,Verified,54.0,Salaried,True,2024-12-19
INV00057,43,F,Coimbatore,B30,Conservative,Verified,90.7,Self-Employed,True,2022-08-23
INV00058,46,F,Agra,B30,Aggressive,Verified,70.5,Salaried,True,2020-03-10
INV00059,26,F,Hyderabad,T30,Conservative,Verified,86.2,Salaried,True,2021-08-23
INV00060,35,F,Pune,T30,Moderate,Verified,57.7,Salaried,True,2020-12-02
INV00061,40,M,Ahmedabad,T30,Moderate,Verified,59.6,Salaried,True,2021-05-21
INV00062,23,M,Indore,B30,Aggressive,Verified,39.6,Salaried,True,2019-12-25
INV00063,23,F,Nagpur,B30,Aggressive,Verified,30.7,Retired,True,2019-03-05
INV00064,23,F,Lucknow,B30,Moderate,Verified,25.9,Self-Employed,True,2024-11-02
INV00065,49,M,Ludhiana,B30,Moderate,Verified,10.2,Student,True,2020-05-30
INV00066,39,F,Ahmedabad,T30,Moderate,Verified,23.2,Student,True,2025-04-10
INV00067,36,M,Kolkata,T30,Conservative,Rejected,97.7,Retired,True,2021-10-05
INV00068,25,M,Varanasi,B30,Conservative,Verified,74.0,Self-Employed,True,2021-11-18
INV00069,27,M,Kolkata,T30,Moderate,Verified,92.1,Student,True,2022-12-14
INV00070,38,F,Ludhiana,B30,Conservative,Verified,50.4,Business,True,2025-08-29
INV00071,49,F,Meerut,B30,Conservative,Verified,27.8,Self-Employed,True,2022-03-10
INV00072,32,M,Surat,T30,Conservative,Pending,93.2,Retired,True,2018-11-13
INV00073,25,M,Agra,B30,Moderate,Verified,44.1,Business,True,2023-05-25
INV00074,32,M,Bhopal,B30,Conservative,Verified,4.9,Business,True,2024-05-28
INV00075,60,M,Pune,T30,Conservative,Verified,87.8,Salaried,True,2023-08-06
INV00076,33,M,Jaipur,T30,Moderate,Verified,36.2,Self-Employed,False,2023-03-08
INV00077,33,M,Varanasi,B30,Aggressive,Pending,57.1,Self-Employed,True,2022-04-20
INV00078,22,F,Ahmedabad,T30,Conservative,Verified,86.0,Student,True,2025-03-22
INV00079,23,M,Coimbatore,B30,Moderate,Verified,71.5,Self-Employed,True,2023-11-23
INV00080,52,M,Delhi,T30,Conservative,Verified,68.5,Student,True,2019-04-09
INV00081,45,F,Agra,B30,Moderate,Verified,63.6,Salaried,False,2020-09-27
INV00082,29,M,Kolkata,T30,Conservative,Verified,75.7,Student,True,2019-12-02
INV00083,24,M,Amritsar,B30,Moderate,Verified,26.2,Salaried,True,2025-09-10
INV00084,51,F,Surat,T30,Aggressive,Verified,41.7,Business,True,2023-10-19
INV00085,56,F,Kochi,B30,Aggressive,Verified,5.5,Business,True,2021-07-08
INV00086,55,F,Ranchi,B30,Aggressive,Verified,30.5,Retired,True,2024-03-30
INV00087,47,F,Rajkot,B30,Aggressive,Pending,97.4,Self-Employed,True,2024-11-03
INV00088,54,F,Kolkata,T30,Conservative,Verified,42.0,Retired,True,2019-03-28
INV00089,26,F,Pune,T30,Moderate,Verified,53.4,Self-Employed,True,2024-05-25
INV00090,48,F,Nashik,B30,Moderate,Verified,10.1,Salaried,True,2025-10-06
INV00091,42,F,Mumbai,T30,Conservative,Verified,11.8,Retired,True,2018-02-13
INV00092,49,M,Pune,T30,Moderate,Pending,10.8,Salaried,True,2024-07-09
INV00093,30,F,Visakhapatnam,B30,Moderate,Verified,74.1,Salaried,True,2019-02-27
INV00094,36,F,Mumbai,T30,Moderate,Verified,84.9,Retired,False,2022-03-04
INV00095,51,F,Nagpur,B30,Conservative,Verified,7.0,Business,True,2024-07-20
INV00096,25,M,Bhopal,B30,Conservative,Pending,77.5,Retired,True,2023-05-30
INV00097,28,F,Ludhiana,B30,Moderate,Verified,5.8,Student,False,2023-05-06
INV00098,46,F,Nagpur,B30,Conservative,Verified,94.2,Salaried,True,2020-02-28
INV00099,54,F,Varanasi,B30,Conservative,Pending,36.5,Student,True,2024-04-28
INV00100,52,M,Meerut,B30,Moderate,Verified,79.3,Student,True,2019-01-01
INV00101,54,M,Surat,T30,Conservative,Rejected,18.4,Self-Employed,True,2025-05-12
INV00102,57,F,Hyderabad,T30,Conservative,Verified,8.7,Business,True,2025-02-22
INV00103,62,F,Pune,T30,Conservative,Verified,99.2,Business,True,2021-12-10
INV00104,61,F,Patna,B30,Moderate,Verified,94.8,Retired,True,2021-05-26
INV00105,45,M,Surat,T30,Aggressive,Verified,38.1,Student,True,2023-05-19
INV00106,50,F,Nashik,B30,Moderate,Verified,55.4,Retired,True,2021-01-15
INV00107,64,M,Delhi,T30,Conservative,Pending,46.6,Self-Employed,True,2024-03-05
INV00108,43,F,Lucknow,B30,Aggressive,Verified,94.8,Self-Employed,True,2021-07-28
INV00109,31,M,Jaipur,T30,Conservative,Verified,32.4,Retired,True,2020-04-07
INV00110,39,F,Lucknow,B30,Conservative,Verified,94.8,Salaried,True,2018-12-25
INV00111,22,M,Surat,T30,Conservative,Verified,70.2,Student,True,2023-11-05
INV00112,48,M,Pune,T30,Moderate,Verified,61.0,Student,True,2022-10-13
INV00113,35,M,Jaipur,T30,Conservative,Verified,27.5,Retired,True,2022-03-27
INV00114,38,F,Delhi,T30,Conservative,Verified,84.5,Retired,True,2021-07-21
INV00115,32,F,Ludhiana,B30,Conservative,Verified,10.1,Self-Employed,True,2022-08-22
INV00116,43,F,Nagpur,B30,Moderate,Rejected,48.0,Student,True,2024-03-18
INV00117,58,F,Jaipur,T30,Aggressive,Verified,31.2,Student,True,2025-12-11
INV00118,31,F,Coimbatore,B30,Aggressive,Verified,42.0,Retired,True,2020-04-25
INV00119,36,M,Ahmedabad,T30,Moderate,Verified,47.9,Business,True,2021-08-20
INV00120,54,F,Patna,B30,Moderate,Rejected,16.2,Business,True,2022-07-04
INV00121,25,F,Lucknow,B30,Moderate,Verified,16.5,Business,True,2024-07-15
INV00122,57,M,Hyderabad,T30,Conservative,Pending,59.6,Self-Employed,True,2022-02-10
INV00123,51,M,Ahmedabad,T30,Conservative,Verified,63.3,Student,True,2025-02-04
INV00124,45,F,Coimbatore,B30,Aggressive,Verified,98.3,Business,True,2024-06-13
INV00125,43,F,Mysuru,B30,Conservative,Verified,37.6,Retired,True,2018-02-22
INV00126,52,M,Agra,B30,Moderate,Pending,74.0,Retired,True,2025-06-27
INV00127,49,F,Delhi,T30,Moderate,Verified,65.6,Student,True,2022-01-13
INV00128,23,F,Indore,B30,Moderate,Verified,29.1,Retired,True,2024-11-16
INV00129,53,F,Ahmedabad,T30,Moderate,Verified,47.5,Student,True,2019-02-21
INV00130,49,M,Lucknow,B30,Moderate,Verified,37.1,Student,True,2021-08-17
INV00131,32,F,Visakhapatnam,B30,Conservative,Verified,94.2,Student,True,2024-08-15
INV00132,46,M,Mysuru,B30,Conservative,Verified,48.1,Salaried,True,2025-02-10
INV00133,22,M,Visakhapatnam,B30,Aggressive,Verified,80.0,Student,True,2024-10-24
INV00134,27,M,Nashik,B30,Conservative,Verified,59.8,Retired,True,2025-09-19
INV00135,24,M,Kolkata,T30,Moderate,Rejected,51.1,Business,True,2020-03-05
INV00136,65,F,Varanasi,B30,Aggressive,Verified,66.9,Retired,True,2022-11-24
INV00137,32,F,Delhi,T30,Moderate,Verified,68.6,Self-Employed,True,2021-07-01
INV00138,27,M,Mysuru,B30,Aggressive,Verified,27.3,Business,True,2020-10-01
INV00139,34,M,Ludhiana,B30,Moderate,Verified,44.7,Salaried,True,2020-12-15
INV00140,28,F,Indore,B30,Aggressive,Verified,57.6,Retired,True,2021-12-29
INV00141,55,M,Rajkot,B30,Aggressive,Verified,65.5,Business,True,2022-08-25
INV00142,51,F,Bengaluru,T30,Conservative,Verified,92.2,Retired,False,2019-09-16
INV00143,54,M,Bhubaneswar,B30,Moderate,Verified,42.7,Self-Employed,True,2019-11-14
INV00144,40,M,Bhubaneswar,B30,Moderate,Pending,28.0,Salaried,True,2020-03-22
INV00145,32,F,Guwahati,B30,Moderate,Verified,10.3,Self-Employed,True,2020-01-26
INV00146,41,F,Coimbatore,B30,Aggressive,Verified,78.0,Salaried,True,2020-10-23
INV00147,48,M,Lucknow,B30,Moderate,Verified,47.8,Salaried,True,2023-07-10
INV00148,37,F,Pune,T30,Conservative,Verified,12.4,Self-Employed,True,2021-10-23
INV00149,27,M,Delhi,T30,Aggressive,Pending,75.0,Salaried,True,2024-11-26
INV00150,28,F,Hyderabad,T30,Conservative,Verified,68.6,Business,True,2021-09-08
INV00151,40,F,Bengaluru,T30,Aggressive,Verified,12.5,Retired,False,2025-04-10
INV00152,52,F,Ahmedabad,T30,Moderate,Verified,25.1,Retired,True,2020-08-28
INV00153,64,F,Ranchi,B30,Aggressive,Verified,49.0,Self-Employed,True,2024-03-08
INV00154,63,M,Indore,B30,Moderate,Verified,77.6,Retired,True,2019-12-27
INV00155,44,M,Pune,T30,Conservative,Verified,50.5,Business,True,2024-09-01
INV00156,38,F,Meerut,B30,Conservative,Verified,77.6,Business,True,2020-01-05
INV00157,64,F,Nagpur,B30,Aggressive,Pending,94.1,Business,True,2022-07-28
INV00158,30,F,Nagpur,B30,Aggressive,Rejected,33.0,Salaried,True,2023-06-02
INV00159,64,F,Bhopal,B30,Aggressive,Pending,52.9,Salaried,True,2022-05-03
INV00160,22,M,Kolkata,T30,Moderate,Verified,35.2,Business,False,2018-06-29
INV00161,43,M,Indore,B30,Conservative,Pending,21.0,Business,True,2021-04-04
INV00162,54,F,Ahmedabad,T30,Moderate,Pending,95.7,Salaried,True,2022-05-08
INV00163,33,F,Vadodara,B30,Conservative,Verified,18.5,Salaried,True,2021-05-04
INV00164,45,F,Ranchi,B30,Aggressive,Verified,97.0,Business,True,2022-03-17
INV00165,28,F,Mumbai,T30,Aggressive,Verified,67.0,Salaried,True,2023-08-07
INV00166,43,F,Hyderabad,T30,Aggressive,Verified,16.4,Retired,True,2019-10-08
INV00167,59,M,Coimbatore,B30,Moderate,Verified,20.5,Salaried,True,2018-03-01
INV00168,24,F,Vadodara,B30,Aggressive,Verified,58.1,Student,False,2021-05-27
INV00169,56,F,Surat,T30,Conservative,Verified,85.3,Salaried,True,2020-04-11
INV00170,48,M,Mumbai,T30,Moderate,Verified,34.0,Business,True,2020-08-04
INV00171,51,M,Bhopal,B30,Moderate,Verified,91.5,Student,True,2025-11-21
INV00172,50,F,Ahmedabad,T30,Moderate,Pending,63.4,Retired,True,2022-08-20
INV00173,24,M,Meerut,B30,Aggressive,Pending,70.7,Business,True,2018-05-26
INV00174,47,F,Jaipur,T30,Conservative,Verified,18.1,Student,True,2020-10-04
INV00175,36,F,Delhi,T30,Conservative,Verified,81.1,Business,True,2025-07-23
INV00176,25,M,Bhopal,B30,Moderate,Verified,3.7,Self-Employed,True,2023-05-07
INV00177,56,F,Nashik,B30,Conservative,Verified,31.5,Self-Employed,True,2023-10-18
INV00178,62,F,Vadodara,B30,Aggressive,Verified,71.2,Retired,True,2020-01-08
INV00179,59,M,Indore,B30,Aggressive,Verified,64.5,Retired,False,2023-05-22
INV00180,29,M,Surat,T30,Moderate,Verified,14.5,Retired,True,2024-01-24
INV00181,33,M,Patna,B30,Conservative,Verified,53.7,Business,True,2023-07-11
INV00182,43,M,Bengaluru,T30,Moderate,Verified,83.3,Self-Employed,True,2024-08-19
INV00183,38,M,Hyderabad,T30,Aggressive,Verified,27.1,Business,True,2019-10-24
INV00184,48,M,Jaipur,T30,Moderate,Verified,89.6,Student,True,2019-02-13
INV00185,45,M,Kolkata,T30,Moderate,Verified,19.9,Self-Employed,True,2020-05-24
INV00186,57,M,Kochi,B30,Conservative,Rejected,82.9,Salaried,True,2019-05-02
INV00187,29,M,Meerut,B30,Conservative,Verified,79.6,Self-Employed,True,2023-03-20
INV00188,39,M,Amritsar,B30,Conservative,Verified,38.3,Self-Employed,True,2023-07-24
INV00189,29,F,Patna,B30,Aggressive,Verified,81.3,Self-Employed,True,2022-04-25
INV00190,61,F,Guwahati,B30,Conservative,Verified,50.1,Retired,False,2023-03-05
INV00191,44,M,Bengaluru,T30,Moderate,Verified,87.9,Business,True,2019-06-11
INV00192,38,M,Kochi,B30,Aggressive,Verified,92.0,Retired,True,2025-12-12
INV00193,27,M,Visakhapatnam,B30,Conservative,Verified,24.8,Retired,True,2019-09-03
INV00194,55,M,Kolkata,T30,Moderate,Rejected,41.5,Business,True,2022-11-14
INV00195,62,F,Amritsar,B30,Conservative,Verified,51.9,Retired,True,2021-08-16
INV00196,49,M,Lucknow,B30,Aggressive,Verified,90.7,Salaried,True,2024-03-14
INV00197,35,M,Lucknow,B30,Conservative,Verified,66.7,Self-Employed,True,2018-12-23
INV00198,59,M,Indore,B30,Aggressive,Verified,17.7,Business,True,2021-03-06
INV00199,53,F,Guwahati,B30,Moderate,Verified,11.4,Business,True,2022-12-01
INV00200,34,M,Varanasi,B30,Conservative,Verified,79.7,Retired,True,2018-02-11
INV00201,58,F,Mumbai,T30,Conservative,Rejected,76.6,Salaried,True,2019-05-13
INV00202,45,F,Ludhiana,B30,Moderate,Verified,66.3,Self-Employed,True,2025-06-24
INV00203,42,F,Mumbai,T30,Conservative,Verified,8.6,Business,True,2023-07-28
INV00204,60,M,Chennai,T30,Aggressive,Verified,45.7,Student,False,2022-03-13
INV00205,57,F,Indore,B30,Conservative,Verified,84.6,Business,True,2020-04-18
INV00206,62,F,Delhi,T30,Conservative,Verified,9.6,Retired,True,2022-05-27
INV00207,49,F,Rajkot,B30,Conservative,Pending,60.5,Salaried,True,2021-02-04
INV00208,41,M,Delhi,T30,Aggressive,Verified,97.4,Self-Employed,True,2023-08-26
INV00209,31,F,Lucknow,B30,Moderate,Verified,3.8,Salaried,True,2021-08-20
INV00210,55,F,Bengaluru,T30,Conservative,Verified,65.8,Business,True,2023-05-28
INV00211,41,F,Vadodara,B30,Conservative,Verified,17.4,Retired,True,2020-10-04
INV00212,42,M,Surat,T30,Aggressive,Verified,62.1,Salaried,True,2019-09-23
INV00213,55,M,Hyderabad,T30,Moderate,Verified,79.1,Retired,False,2023-01-26
INV00214,43,F,Jaipur,T30,Conservative,Verified,35.5,Salaried,False,2023-07-28
INV00215,59,M,Pune,T30,Conservative,Verified,62.2,Salaried,True,2018-09-24
INV00216,57,M,Surat,T30,Aggressive,Verified,21.5,Business,True,2018-03-28
INV00217,56,F,Mysuru,B30,Aggressive,Verified,48.0,Student,True,2024-02-09
INV00218,47,M,Chennai,T30,Moderate,Pending,43.0,Retired,True,2024-04-13
INV00219,27,F,Bhopal,B30,Moderate,Verified,70.3,Student,True,2021-11-04
INV00220,26,M,Hyderabad,T30,Aggressive,Verified,33.1,Business,True,2022-11-15
INV00221,52,M,Nashik,B30,Moderate,Verified,60.8,Student,False,2020-11-02
INV00222,56,M,Lucknow,B30,Moderate,Verified,12.2,Student,True,2023-10-14
INV00223,37,M,Kochi,B30,Moderate,Verified,97.5,Student,True,2019-04-13
INV00224,58,M,Ranchi,B30,Aggressive,Verified,93.9,Salaried,True,2019-12-14
INV00225,35,M,Indore,B30,Conservative,Verified,23.2,Retired,True,2020-07-17
INV00226,65,M,Rajkot,B30,Moderate,Verified,68.4,Student,True,2023-02-09
INV00227,39,M,Coimbatore,B30,Moderate,Verified,4.3,Retired,True,2020-06-18
INV00228,49,M,Delhi,T30,Aggressive,Verified,18.7,Self-Employed,True,2025-11-26
INV00229,55,F,Pune,T30,Moderate,Verified,13.5,Business,True,2021-07-03
INV00230,48,F,Mysuru,B30,Moderate,Verified,93.3,Self-Employed,True,2023-07-14
INV00231,29,F,Meerut,B30,Moderate,Verified,72.2,Retired,False,2023-08-29
INV00232,22,M,Indore,B30,Moderate,Verified,52.2,Salaried,True,2022-03-29
INV00233,38,M,Vadodara,B30,Aggressive,Verified,38.3,Student,True,2025-02-13
INV00234,59,M,Ranchi,B30,Aggressive,Verified,49.0,Salaried,True,2025-09-12
INV00235,24,M,Bhubaneswar,B30,Conservative,Verified,27.9,Salaried,True,2020-11-25
INV00236,26,F,Vadodara,B30,Conservative,Rejected,65.3,Salaried,True,2021-07-14
INV00237,29,M,Jaipur,T30,Aggressive,Verified,34.6,Retired,True,2018-03-29
INV00238,22,F,Chennai,T30,Conservative,Verified,57.2,Salaried,True,2025-03-13
INV00239,31,M,Nagpur,B30,Aggressive,Verified,65.4,Self-Employed,True,2018-10-13
INV00240,45,F,Chennai,T30,Moderate,Verified,48.5,Student,True,2024-09-08
INV00241,65,F,Coimbatore,B30,Moderate,Verified,35.9,Business,True,2023-09-29
INV00242,62,M,Meerut,B30,Conservative,Verified,58.7,Business,True,2020-05-21
INV00243,64,M,Pune,T30,Moderate,Verified,69.2,Retired,True,2020-12-29
INV00244,49,M,Jaipur,T30,Moderate,Verified,13.4,Retired,True,2025-03-08
INV00245,32,M,Nagpur,B30,Conservative,Verified,98.8,Retired,True,2018-01-15
INV00246,40,M,Coimbatore,B30,Moderate,Verified,66.2,Business,True,2023-09-22
INV00247,31,F,Surat,T30,Moderate,Verified,24.5,Student,False,2024-12-30
INV00248,22,F,Amritsar,B30,Aggressive,Verified,69.2,Retired,True,2018-09-02
INV00249,44,F,Nagpur,B30,Aggressive,Verified,75.5,Student,True,2022-07-02
INV00250,39,F,Pune,T30,Moderate,Verified,42.7,Student,True,2022-08-13
INV00251,36,F,Indore,B30,Conservative,Verified,16.1,Self-Employed,True,2018-02-21
INV00252,63,F,Ahmedabad,T30,Moderate,Verified,27.8,Retired,True,2024-03-27
INV00253,54,M,Kochi,B30,Conservative,Verified,13.6,Self-Employed,False,2024-09-06
INV00254,55,F,Varanasi,B30,Aggressive,Verified,71.7,Self-Employed,True,2022-01-23
INV00255,64,F,Meerut,B30,Aggressive,Verified,85.0,Business,True,2021-07-04
INV00256,58,M,Bengaluru,T30,Conservative,Pending,16.3,Salaried,True,2024-11-24
INV00257,37,M,Jaipur,T30,Aggressive,Verified,67.4,Retired,False,2023-11-11
INV00258,22,M,Coimbatore,B30,Conservative,Verified,68.0,Salaried,True,2018-11-24
INV00259,57,F,Bhubaneswar,B30,Aggressive,Verified,37.1,Business,True,2024-07-12
INV00260,34,M,Indore,B30,Conservative,Verified,45.7,Salaried,True,2025-05-10
INV00261,49,F,Vadodara,B30,Aggressive,Verified,25.3,Retired,True,2022-12-04
INV00262,34,F,Mysuru,B30,Aggressive,Verified,80.4,Salaried,True,2018-09-10
INV00263,58,F,Agra,B30,Conservative,Verified,94.6,Self-Employed,True,2022-03-28
INV00264,34,M,Agra,B30,Moderate,Verified,19.2,Business,True,2024-06-02
INV00265,44,F,Patna,B30,Conservative,Verified,27.8,Self-Employed,True,2021-10-03
INV00266,36,F,Indore,B30,Aggressive,Verified,60.4,Self-Employed,True,2024-02-25
INV00267,28,M,Bengaluru,T30,Conservative,Verified,79.1,Salaried,True,2025-11-03
INV00268,35,F,Delhi,T30,Moderate,Verified,44.6,Student,True,2022-08-13
INV00269,26,M,Vadodara,B30,Aggressive,Rejected,62.8,Self-Employed,True,2021-07-19
INV00270,50,M,Kochi,B30,Conservative,Verified,94.0,Retired,True,2018-10-13
INV00271,45,M,Pune,T30,Conservative,Verified,52.1,Student,False,2021-03-04
INV00272,59,F,Ludhiana,B30,Conservative,Rejected,87.3,Business,True,2023-01-04
INV00273,59,F,Ranchi,B30,Conservative,Verified,49.9,Retired,True,2024-01-31
INV00274,37,M,Ludhiana,B30,Conservative,Verified,51.9,Retired,True,2025-10-03
INV00275,60,M,Visakhapatnam,B30,Conservative,Verified,48.8,Salaried,True,2021-02-13
INV00276,56,M,Jaipur,T30,Aggressive,Verified,43.4,Salaried,True,2024-11-04
INV00277,22,F,Vadodara,B30,Conservative,Verified,14.3,Self-Employed,True,2018-08-15
INV00278,43,M,Nashik,B30,Conservative,Verified,84.5,Business,True,2025-08-01
INV00279,58,F,Ahmedabad,T30,Conservative,Verified,9.0,Student,True,2019-10-31
INV00280,44,F,Varanasi,B30,Aggressive,Verified,54.5,Business,True,2022-07-19
INV00281,28,M,Mumbai,T30,Aggressive,Verified,35.8,Self-Employed,True,2019-05-02
INV00282,32,M,Kolkata,T30,Aggressive,Verified,22.1,Business,True,2021-12-06
INV00283,34,M,Kolkata,T30,Conservative,Verified,22.3,Student,True,2020-10-01
INV00284,25,F,Nagpur,B30,Conservative,Verified,66.2,Business,True,2021-03-04
INV00285,29,M,Delhi,T30,Moderate,Verified,65.9,Student,False,2024-02-01
INV00286,41,F,Nashik,B30,Conservative,Verified,42.1,Business,True,2019-12-14
INV00287,32,F,Rajkot,B30,Moderate,Verified,62.0,Student,True,2022-05-08
INV00288,24,M,Varanasi,B30,Aggressive,Verified,21.1,Student,True,2025-05-19
INV00289,28,M,Bhopal,B30,Conservative,Verified,35.3,Self-Employed,True,2019-06-01
INV00290,48,M,Hyderabad,T30,Moderate,Verified,44.0,Salaried,True,2019-06-10
INV00291,32,F,Rajkot,B30,Aggressive,Verified,94.5,Business,True,2018-01-30
INV00292,65,F,Kochi,B30,Moderate,Verified,99.1,Business,True,2018-01-06
INV00293,56,M,Agra,B30,Moderate,Verified,47.8,Student,False,2022-12-10
INV00294,50,F,Agra,B30,Moderate,Verified,78.0,Self-Employed,True,2022-01-21
INV00295,23,M,Pune,T30,Moderate,Verified,66.1,Student,True,2020-10-28
INV00296,56,F,Amritsar,B30,Conservative,Pending,46.8,Student,True,2024-05-26
INV00297,30,M,Chennai,T30,Conservative,Verified,45.1,Retired,False,2024-10-11
INV00298,29,F,Kochi,B30,Moderate,Pending,9.8,Self-Employed,True,2025-08-28
INV00299,30,M,Mysuru,B30,Aggressive,Verified,13.5,Retired,True,2025-08-01
INV00300,36,M,Nashik,B30,Conservative,Pending,70.5,Retired,True,2021-08-10
INV00301,60,M,Coimbatore,B30,Conservative,Verified,79.3,Self-Employed,True,2024-07-20
INV00302,43,M,Bengaluru,T30,Moderate,Verified,43.5,Student,True,2020-10-26
INV00303,30,M,Kochi,B30,Conservative,Verified,14.1,Student,True,2022-04-17
INV00304,35,M,Meerut,B30,Conservative,Verified,19.3,Salaried,False,2020-04-05
INV00305,55,M,Bengaluru,T30,Aggressive,Verified,75.0,Student,True,2019-11-10
INV00306,62,M,Bhopal,B30,Aggressive,Verified,17.2,Salaried,True,2020-02-13
INV00307,32,F,Nagpur,B30,Moderate,Verified,94.2,Business,True,2018-01-04
INV00308,22,M,Amritsar,B30,Aggressive,Verified,75.9,Salaried,True,2020-11-15
INV00309,23,M,Meerut,B30,Moderate,Verified,39.3,Student,True,2018-07-21
INV00310,62,M,Vadodara,B30,Conservative,Verified,32.8,Retired,True,2018-01-15
INV00311,28,F,Indore,B30,Aggressive,Verified,81.6,Retired,False,2021-07-22
INV00312,62,M,Delhi,T30,Aggressive,Verified,71.3,Business,True,2025-01-20
