fund_id,month,aum_cr,net_inflow_cr
F002,2024-01,23025.98,622.88
F002,2024-02,24167.2,750.21
F002,2024-03,24648.79,297.97
F002,2024-04,24191.32,795.56
F002,2024-05,24486.6,-90.66
F002,2024-06,24255.89,633.09
F002,2024-07,23930.93,562.54
F002,2024-08,24949.84,41.75
F002,2024-09,25583.04,238.11
F002,2024-10,25144.24,397.0
F002,2024-11,24482.82,733.62
F002,2024-12,25437.92,-11.03
F002,2025-01,25156.54,117.92
F002,2025-02,25689.67,748.59
F002,2025-03,25708.19,750.41
F002,2025-04,27069.84,150.12
F002,2025-05,26746.59,444.14
F002,2025-06,26886.15,-46.9
F002,2025-07,26785.67,-136.35
F002,2025-08,26425.58,-5.66
F002,2025-09,27197.76,238.87
F002,2025-10,28514.69,-130.62
F002,2025-11,28289.99,328.56
F002,2025-12,28859.09,-56.64
F002,2026-01,30497.59,-143.29
F002,2026-02,31462.19,209.92
F002,2026-03,32031.17,418.59
F002,2026-04,31560.07,732.8
F002,2026-05,31665.28,-56.51
F002,2026-06,31011.11,33.66
F002,2026-07,31144.75,362.71
F002,2026-08,32491.24,568.7
F003,2022-01,2805.28,428.29
F003,2022-02,2863.42,-126.08
F003,2022-03,2944.74,710.81
F003,2022-04,3104.78,444.79
F003,2022-05,3090.57,416.05
F003,2022-06,3122.93,548.07
F003,2022-07,3221.17,412.61
F003,2022-08,3224.6,787.98
F003,2022-09,3259.9,719.43
F003,2022-10,3207.03,336.45
F003,2022-11,3214.77,-55.59
F003,2022-12,3302.66,-25.65
F003,2023-01,3491.12,799.14
F003,2023-02,3663.49,168.08
F003,2023-03,3560.49,605.45
F003,2023-04,3499.81,259.93
F003,2023-05,3618.67,341.5
F003,2023-06,3584.03,202.23
F003,2023-07,3747.51,152.94
F003,2023-08,3952.76,221.14
F003,2023-09,3982.78,533.45
F003,2023-10,4022.41,188.44
F003,2023-11,4033.35,126.01
F003,2023-12,4057.15,523.31
F003,2024-01,4010.62,16.96
F003,2024-02,3959.23,-5.4
F003,2024-03,4151.75,459.33
F003,2024-04,4258.45,700.35
F003,2024-05,4340.8,563.98
F003,2024-06,4370.05,444.0
F003,2024-07,4322.92,-58.67
F003,2024-08,4235.51,452.24
F003,2024-09,4222.92,632.89
F003,2024-10,4390.62,423.6
F003,2024-11,4279.01,17.18
F003,2024-12,4363.11,-43.28
F003,2025-01,4383.12,317.5
F003,2025-02,4322.75,242.98
F003,2025-03,4463.06,185.97
F003,2025-04,4597.08,73.32
F003,2025-05,4767.8,363.36
F003,2025-06,4691.65,201.88
F003,2025-07,4881.04,-2.19
F003,2025-08,4915.28,268.58
F003,2025-09,5151.82,-69.44
F003,2025-10,5429.05,116.21
F003,2025-11,5722.07,412.32
F003,2025-12,5929.09,675.92
F003,2026-01,6112.04,586.96
F003,2026-02,5975.85,-191.33
F003,2026-03,6260.31,-147.25
F003,2026-04,6552.88,113.29
F003,2026-05,6888.14,3.01
F003,2026-06,6774.86,13.01
F003,2026-07,7084.21,162.94
F003,2026-08,7451.4,383.45
F004,2022-01,16863.39,503.6
F004,2022-02,16797.23,-98.5
F004,2022-03,17142.75,700.82
F004,2022-04,16863.01,215.19
F004,2022-05,17164.98,418.29
F004,2022-06,16894.55,352.32
F004,2022-07,17101.7,783.3
F004,2022-08,17650.6,703.65
F004,2022-09,18671.71,463.87
F004,2022-10,18357.99,244.9
F004,2022-11,19055.79,-64.4
F004,2022-12,19137.46,179.37
F004,2023-01,18856.92,-180.05
F004,2023-02,19459.04,617.95
F004,2023-03,20505.64,384.89
F004,2023-04,20226.05,693.99
F004,2023-05,21385.54,746.6
F004,2023-06,21834.86,685.6
F004,2023-07,23121.01,686.49
F004,2023-08,22570.73,-65.06
F004,2023-09,22503.23,193.62
F004,2023-10,22130.89,792.9
F004,2023-11,23042.39,468.9
F004,2023-12,24345.25,120.7
F004,2024-01,25173.64,748.76
F004,2024-02,24606.64,402.81
F004,2024-03,25638.61,-184.04
F004,2024-04,26925.52,217.74
F004,2024-05,26527.44,651.25
F004,2024-06,26190.07,80.25
F004,2024-07,26631.08,715.93
F004,2024-08,27005.64,705.82
F004,2024-09,26321.88,38.8
F004,2024-10,26258.64,248.93
F004,2024-11,26494.06,-159.54
F004,2024-12,27487.58,559.77
F004,2025-01,27796.21,-119.76
F004,2025-02,28341.42,-69.35
F004,2025-03,29986.43,424.17
F004,2025-04,31069.47,-180.79
F004,2025-05,31201.83,704.53
F004,2025-06,31332.93,-164.02
F004,2025-07,32287.69,496.86
F004,2025-08,32294.37,603.15
F004,2025-09,33806.6,584.12
F004,2025-10,34031.34,142.13
F004,2025-11,35898.35,519.12
F004,2025-12,36606.06,288.83
F004,2026-01,36386.45,713.36
F004,2026-02,38303.64,-115.2
F004,2026-03,39451.22,118.61
F004,2026-04,40074.2,-86.47
F004,2026-05,41796.11,606.23
F004,2026-06,40944.91,-125.59
F004,2026-07,41092.51,-45.99
F004,2026-08,42823.79,578.88
F005,2022-01,16836.76,-186.55
F005,2022-02,17554.49,670.16
F005,2022-03,18003.38,-43.76
F005,2022-04,18477.8,671.35
F005,2022-05,18689.71,673.4
F005,2022-06,19451.35,-94.17
F005,2022-07,19081.35,504.15
F005,2022-08,18851.55,546.06
F005,2022-09,18423.7,-108.3
F005,2022-10,19448.52,-196.16
F005,2022-11,20250.64,33.08
F005,2022-12,19734.25,-120.59
F005,2023-01,19711.29,329.33
F005,2023-02,19964.46,-2.7
F005,2023-03,21140.64,405.46
F005,2023-04,20860.43,88.06
F005,2023-05,21504.07,665.01
F005,2023-06,20977.52,-15.07
F005,2023-07,20360.11,-24.15
F005,2023-08,20111.62,-56.11
F005,2023-09,20489.31,772.72
F005,2023-10,21165.4,502.87
F005,2023-11,20674.79,-12.95
F005,2023-12,20652.59,791.98
F005,2024-01,20334.92,435.3
F005,2024-02,20808.88,401.55
F005,2024-03,21133.47,85.4
F005,2024-04,21310.72,624.47
F005,2024-05,22081.95,330.55
F005,2024-06,22720.91,768.14
F005,2024-07,22553.92,554.3
F005,2024-08,22008.54,-137.22
F005,2024-09,22030.11,532.91
F005,2024-10,22598.18,617.7
F005,2024-11,22082.84,564.43
F005,2024-12,22843.59,-188.0
F005,2025-01,23688.44,-111.77
F005,2025-02,24231.68,716.33
F005,2025-03,24293.06,481.08
F005,2025-04,25047.06,-134.12
F005,2025-05,24887.24,639.73
F005,2025-06,25150.32,542.19
F005,2025-07,25483.32,299.69
F005,2025-08,26469.71,113.47
F005,2025-09,28055.74,-9.71
F005,2025-10,28696.83,-157.3
F005,2025-11,28747.35,264.94
F005,2025-12,29079.32,723.45
F005,2026-01,30422.3,772.28
F005,2026-02,30779.03,699.09
F005,2026-03,31108.24,-57.92
F005,2026-04,32276.34,219.6
F005,2026-05,31379.17,-60.57
F005,2026-06,31332.26,789.76
F005,2026-07,32175.01,199.42
F005,2026-08,31250.16,591.38
F006,2022-01,13210.86,392.94
F006,2022-02,13033.2,-105.15
F006,2022-03,13101.19,-50.1
F006,2022-04,13105.88,-178.32
F006,2022-05,13175.35,103.52
F006,2022-06,13912.75,349.33
F006,2022-07,13780.53,286.53
F006,2022-08,14264.71,232.86
F006,2022-09,15052.98,-40.18
F006,2022-10,15914.3,-140.24
F006,2022-11,16813.92,-133.09
F006,2022-12,16798.71,276.7
F006,2023-01,16732.17,35.15
F006,2023-02,17650.78,603.62
F006,2023-03,17782.65,-187.03
F006,2023-04,17742.12,-41.4
F006,2023-05,18216.56,484.06
F006,2023-06,18373.4,-78.15
F006,2023-07,18036.22,81.9
F006,2023-08,18671.61,607.12
F006,2023-09,19563.53,169.57
F006,2023-10,20685.27,-136.88
F006,2023-11,20897.03,217.0
F006,2023-12,20664.05,126.2
F006,2024-01,20478.27,671.87
F006,2024-02,20439.94,715.74
F006,2024-03,21615.8,586.81
F006,2024-04,22047.03,377.22
F006,2024-05,22042.52,-5.62
F006,2024-06,21633.45,121.83
F006,2024-07,22216.29,771.14
F006,2024-08,22007.53,392.83
F006,2024-09,21816.76,619.66
F006,2024-10,22121.6,269.75
F006,2024-11,21496.57,310.96
F006,2024-12,21036.6,550.19
F006,2025-01,21586.17,-118.69
F006,2025-02,21892.36,402.6
F006,2025-03,22990.97,758.27
F006,2025-04,22851.66,249.48
F006,2025-05,23765.01,591.28
F006,2025-06,23642.84,-56.92
F006,2025-07,24737.49,-140.98
F006,2025-08,24544.36,433.07
F006,2025-09,24530.84,624.84
F006,2025-10,24860.28,-53.88
F006,2025-11,24724.75,120.04
F006,2025-12,26175.49,404.77
F006,2026-01,26653.66,624.14
F006,2026-02,27403.31,757.73
F006,2026-03,28055.04,-79.64
F006,2026-04,29065.24,535.49
F006,2026-05,28703.23,598.85
F006,2026-06,28571.8,590.71
F006,2026-07,28802.35,618.59
F006,2026-08,27966.57,60.99
F007,2022-01,3217.42,451.63
F007,2022-02,3341.65,-121.29
F007,2022-03,3381.23,709.81
F007,2022-04,3324.72,425.89
F007,2022-05,3391.13,393.85
F007,2022-06,3520.87,-92.26
F007,2022-07,3501.93,75.95
F007,2022-08,3619.48,253.33
F007,2022-09,3563.96,-71.46
F007,2022-10,3763.72,-76.09
F007,2022-11,3944.74,352.58
F007,2022-12,3957.34,115.27
F007,2023-01,4095.23,350.13
F007,2023-02,4204.17,446.33
F007,2023-03,4227.7,126.61
F007,2023-04,4418.99,-165.47
F007,2023-05,4398.94,365.62
F007,2023-06,4492.05,683.26
F007,2023-07,4379.88,517.27
F007,2023-08,4300.46,-136.12
F007,2023-09,4197.72,-48.43
F007,2023-10,4269.3,740.12
F007,2023-11,4231.52,554.66
F007,2023-12,4474.87,138.16
F007,2024-01,4506.81,550.85
F007,2024-02,4571.35,345.11
F007,2024-03,4650.07,441.82
F007,2024-04,4676.3,-45.02
F007,2024-05,4882.32,614.36
F007,2024-06,4932.92,-84.75
F007,2024-07,5189.57,60.75
F007,2024-08,5145.64,444.76
F007,2024-09,5249.53,-147.52
F007,2024-10,5490.28,25.52
F007,2024-11,5346.52,19.0
F007,2024-12,5298.08,-47.37
F007,2025-01,5554.21,300.58
F007,2025-02,5549.02,555.96
F007,2025-03,5717.28,-180.74
F007,2025-04,5939.68,292.23
F007,2025-05,6119.46,497.12
F007,2025-06,6238.8,-159.87
F007,2025-07,6382.73,8.84
F007,2025-08,6526.0,-192.85
F007,2025-09,6742.43,381.58
F007,2025-10,6763.54,698.58
F007,2025-11,6660.57,12.78
F007,2025-12,6782.2,715.2
F007,2026-01,7033.03,81.42
F007,2026-02,7174.13,310.88
F007,2026-03,7062.13,1.59
F007,2026-04,7236.46,134.49
F007,2026-05,7232.38,60.34
F007,2026-06,7092.97,85.38
F007,2026-07,6898.58,403.37
F007,2026-08,7096.06,311.81
F008,2022-01,8298.56,-158.34
F008,2022-02,8650.56,542.81
F008,2022-03,9071.68,0.14
F008,2022-04,9265.07,547.27
F008,2022-05,9681.67,474.21
F008,2022-06,10163.8,617.86
F008,2022-07,10189.05,-145.63
F008,2022-08,10457.54,366.85
F008,2022-09,10976.17,52.33
F008,2022-10,11151.78,109.9
F008,2022-11,11034.44,-19.08
F008,2022-12,11035.04,299.59
F008,2023-01,11419.0,519.97
F008,2023-02,11547.0,190.75
F008,2023-03,11984.02,720.82
F008,2023-04,12142.4,396.74
F008,2023-05,12646.92,467.02
F008,2023-06,13334.97,-122.33
F008,2023-07,13063.65,-199.73
F008,2023-08,12708.42,-149.97
F008,2023-09,12339.99,74.23
F008,2023-10,11969.8,245.06
F008,2023-11,12395.78,761.21
F008,2023-12,12132.38,168.05
F008,2024-01,12473.53,770.94
F008,2024-02,12932.14,172.82
F008,2024-03,12870.04,453.63
F008,2024-04,12828.5,-165.01
F008,2024-05,12582.28,-58.16
F008,2024-06,12722.24,732.25
F008,2024-07,13466.43,714.57
F008,2024-08,13208.27,436.71
F008,2024-09,13944.21,592.76
F008,2024-10,14630.63,732.04
F008,2024-11,14421.59,-87.41
F008,2024-12,14929.71,255.24
F008,2025-01,15672.9,494.92
F008,2025-02,15587.99,-177.44
F008,2025-03,15910.52,-136.72
F008,2025-04,16423.82,15.48
F008,2025-05,16518.73,177.43
F008,2025-06,16078.41,232.49
F008,2025-07,16269.96,-24.98
F008,2025-08,15801.29,697.41
F008,2025-09,16261.03,759.43
F008,2025-10,17055.76,509.9
F008,2025-11,17647.57,2.7
F008,2025-12,17542.67,471.24
F008,2026-01,18537.11,-11.93
F008,2026-02,19131.61,610.35
F008,2026-03,20272.34,-155.88
F008,2026-04,20691.76,657.0
F008,2026-05,21111.9,502.95
F008,2026-06,21983.33,515.57
F008,2026-07,22792.92,86.52
F008,2026-08,22290.5,167.3
F009,2022-01,16817.72,173.27
F009,2022-02,17678.18,526.2
F009,2022-03,18008.21,120.71
F009,2022-04,18504.13,207.0
F009,2022-05,18915.27,172.11
F009,2022-06,20022.12,567.31
F009,2022-07,19687.49,472.66
F009,2022-08,20672.82,475.71
F009,2022-09,20811.42,761.39
F009,2022-10,20348.99,53.2
F009,2022-11,19990.6,724.72
F009,2022-12,20552.17,250.77
F009,2023-01,20932.98,480.34
F009,2023-02,21981.24,143.45
F009,2023-03,23138.48,782.71
F009,2023-04,22746.39,141.65
F009,2023-05,23359.24,544.79
F009,2023-06,24447.75,373.69
F009,2023-07,25864.52,592.28
F009,2023-08,27008.3,196.35
F009,2023-09,28199.63,680.72
F009,2023-10,29867.51,344.0
F009,2023-11,30368.12,375.46
F009,2023-12,30153.25,350.45
F009,2024-01,31805.84,539.71
F009,2024-02,32809.66,587.72
F009,2024-03,33269.85,125.49
F009,2024-04,34776.38,173.32
F009,2024-05,36665.56,323.12
F009,2024-06,38269.4,19.07
F009,2024-07,38330.71,208.0
F009,2024-08,39773.52,-93.57
F009,2024-09,40872.95,253.65
F009,2024-10,42715.97,695.23
F009,2024-11,42158.51,-199.4
F009,2024-12,43904.87,304.51
F009,2025-01,43013.69,-55.64
F009,2025-02,42002.81,750.11
F009,2025-03,41656.91,206.12
F009,2025-04,43501.1,341.97
F009,2025-05,42574.22,614.49
F009,2025-06,41387.06,-168.9
F009,2025-07,40596.43,-14.29
F009,2025-08,42214.04,-128.66
F009,2025-09,41910.48,751.01
F009,2025-10,42244.62,157.51
F009,2025-11,42509.49,497.82
F009,2025-12,42382.79,187.75
F009,2026-01,41906.42,228.52
F009,2026-02,42873.29,278.44
F009,2026-03,43959.37,-158.13
F009,2026-04,44584.47,-168.48
F009,2026-05,44529.5,-168.96
F009,2026-06,46001.5,661.17
F009,2026-07,46210.25,339.02
F009,2026-08,45231.55,488.59
F010,2022-01,12614.61,771.36
F010,2022-02,12792.82,-172.67
F010,2022-03,12453.56,287.45
F010,2022-04,13095.28,274.87
F010,2022-05,13343.25,-117.04
F010,2022-06,13812.74,515.61
F010,2022-07,14544.92,254.69
F010,2022-08,15089.12,41.38
F010,2022-09,15972.73,-165.66
F010,2022-10,15938.92,577.16
F010,2022-11,16686.74,16.56
F010,2022-12,16802.79,-189.71
F010,2023-01,16492.86,662.72
F010,2023-02,17157.11,735.54
F010,2023-03,17328.66,302.07
F010,2023-04,17531.17,497.13
F010,2023-05,17617.7,724.98
F010,2023-06,18125.68,-151.29
F010,2023-07,18537.3,498.22
F010,2023-08,18800.51,702.26
F010,2023-09,18732.92,-37.25
F010,2023-10,18660.35,131.42
F010,2023-11,18284.73,-45.2
F010,2023-12,19114.19,-0.88
F010,2024-01,19377.25,-194.31
F010,2024-02,20148.78,606.8
F010,2024-03,21186.18,572.46
F010,2024-04,20634.25,-17.32
F010,2024-05,20646.76,483.03
F010,2024-06,21598.55,28.73
F010,2024-07,21814.97,500.78
F010,2024-08,22950.41,-98.46
F010,2024-09,22549.43,540.36
F010,2024-10,23794.17,362.77
F010,2024-11,24018.52,166.68
F010,2024-12,24808.8,-179.46
F010,2025-01,25237.15,493.81
F010,2025-02,25921.95,-93.67
F010,2025-03,26249.33,78.9
F010,2025-04,26778.39,222.26
F010,2025-05,26132.12,62.78
F010,2025-06,27579.3,157.64
F010,2025-07,27748.07,719.27
F010,2025-08,29179.74,675.53
F010,2025-09,28622.15,-38.0
F010,2025-10,29232.88,464.64
F010,2025-11,29529.57,796.52
F010,2025-12,29635.84,63.01
F010,2026-01,28924.98,590.0
F010,2026-02,28540.16,213.26
F010,2026-03,29121.52,32.25
F010,2026-04,28634.17,-66.79
F010,2026-05,29582.9,-188.81
F010,2026-06,28855.14,588.09
F010,2026-07,28282.3,465.91
F010,2026-08,28924.35,-191.14
