overall_rank,amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,std_dev_ann_pct,aum_crore,alpha,composite_score
20,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,11.96,12.82,12.35,0.92,1.63,-21.7,14.0,41828.0,1.82,21.1
21,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,14.42,12.33,14.72,0.88,1.48,-18.14,14.0,39475.0,1.7,20.95
22,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,14.91,14.56,15.68,0.91,1.55,-33.15,16.0,49046.0,1.7,20.65
23,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,13.95,12.14,13.66,0.87,1.54,-17.4,14.0,15866.0,1.43,19.5
24,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,14.02,18.08,17.55,0.95,1.45,-21.84,19.0,979.0,0.89,19.1
25,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,16.3,15.61,15.86,0.82,1.21,-13.43,19.0,41728.0,1.12,18.5
26,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,14.12,14.41,13.02,1.03,1.27,-26.59,14.0,41553.0,0.88,17.95
27,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,14.37,12.25,13.42,0.87,1.34,-17.86,14.0,35585.0,1.27,17.6
28,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,14.12,17.16,19.0,0.9,1.5,-26.99,19.0,37835.0,1.02,17.5
29,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.2,20.08,20.61,0.8,1.23,-17.01,25.0,35124.0,0.69,17.25
30,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,15.25,11.3,14.23,0.81,1.29,-24.43,14.0,1231.0,1.78,16.8
31,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,19.98,15.29,15.85,0.8,1.38,-32.22,19.0,18792.0,0.9,16.7
32,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,11.48,13.38,13.48,0.96,1.45,-33.5,14.0,10611.0,1.13,16.2
33,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,13.76,12.1,11.31,0.93,1.29,-24.42,13.0,7350.0,0.93,15.85
34,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,21.3,20.15,21.88,0.81,1.14,-30.87,25.0,43630.0,0.8,14.65
35,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,12.42,12.36,14.45,0.88,1.29,-21.7,14.0,14288.0,0.87,14.35
36,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,10.14,11.77,12.31,0.91,1.24,-26.75,13.0,20284.0,1.8,12.85
37,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,15.63,11.54,11.46,0.82,1.12,-25.91,14.0,36022.0,0.66,12.4
38,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,14.88,15.18,18.94,0.8,1.18,-32.38,19.0,28996.0,1.42,11.35
39,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,11.82,11.84,14.14,0.85,1.25,-27.54,14.0,25803.0,1.41,10.9
40,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,11.16,13.58,14.26,0.8,1.03,-22.62,17.0,2989.0,0.54,6.35
