txn_id,investor_id,fund_id,txn_date,txn_type,amount,units,nav_at_txn,city,city_tier,age,gender,kyc_status,risk_profile,folio_no,kyc_valid,txn_month
TXN0000162,INV01636,F009,2022-06-08,Lumpsum,53172.31,419.0872,126.8765,Chennai,T30,43,F,Verified,Moderate,FOLIO649983,True,2022-06
TXN0000163,INV00656,F007,2023-09-09,Sip,3000.0,17.7095,169.4006,Amritsar,B30,57,M,Verified,Aggressive,FOLIO674531,True,2023-09
TXN0000164,INV01335,F001,2022-10-20,Redemption,164571.66,1221.3683,134.7437,Vadodara,B30,44,M,Verified,Conservative,FOLIO947915,True,2022-10
TXN0000165,INV01478,F002,2024-02-02,Redemption,36661.97,242.5075,151.1787,Bengaluru,T30,52,M,Verified,Moderate,INV01478_F002,True,2024-02
TXN0000166,INV00069,F001,2023-01-14,Sip,1000.0,5.203,192.1968,Kolkata,T30,27,M,Verified,Moderate,FOLIO451525,True,2023-01
TXN0000167,INV01326,F006,2025-11-25,Sip,2000.0,10.8727,183.9469,Ludhiana,B30,44,F,Verified,Moderate,FOLIO402311,True,2025-11
TXN0000168,INV01518,F002,2022-07-16,Sip,1000.0,65.8388,15.1886,Jaipur,T30,46,M,Verified,Conservative,FOLIO138449,True,2022-07
TXN0000169,INV00212,F006,2022-06-04,Sip,10000.0,82.0503,121.8765,Surat,T30,42,M,Verified,Aggressive,FOLIO200084,True,2022-06
TXN0000170,INV01762,F007,2024-05-19,Redemption,41955.53,278.5229,150.6358,Surat,T30,50,M,Verified,Aggressive,FOLIO242274,True,2024-05
TXN0000171,INV01747,F003,2023-07-24,Sip,2000.0,36.9683,54.1004,Pune,T30,37,M,Verified,Aggressive,FOLIO236830,True,2023-07
TXN0000172,INV00378,F003,2022-04-07,Sip,1000.0,7.4376,134.452,Chennai,T30,30,F,Pending,Conservative,FOLIO795473,True,2022-04
TXN0000173,INV01514,F010,2026-04-01,Sip,500.0,15.805,31.6356,Ranchi,B30,31,M,Verified,Conservative,FOLIO660133,True,2026-04
TXN0000174,INV00629,F004,2023-04-03,Lumpsum,100259.33,759.9374,131.931,Kolkata,T30,37,F,Verified,Moderate,FOLIO642138,True,2023-04
TXN0000175,INV00776,F002,2026-06-20,Sip,1000.0,6.6998,149.2582,Amritsar,B30,47,M,Verified,Conservative,FOLIO972838,True,2026-06
