sip_id,investor_id,fund_id,sip_amount,sip_date,start_date,frequency,total_instalments_completed,status,last_instalment_date,mandate_amount
SIP000036,INV01543,F010,5000,16,2025-03-01,Monthly,3,Active,2025-05-01,1000
SIP000037,INV00044,F002,1000,1,2023-02-01,Monthly,3,Active,2023-04-01,10000
SIP000038,INV01823,F005,2000,15,2023-11-01,Monthly,39,Active,2027-01-01,10000
SIP000039,INV00457,F007,5000,26,2023-02-01,Monthly,29,Active,2025-06-01,10000
SIP000040,INV00041,F001,1000,4,2023-07-01,Quarterly,19,Active,2025-01-01,500
SIP000041,INV00033,F006,3000,4,2023-07-01,Monthly,38,Active,2026-08-01,10000
SIP000042,INV01609,F004,10000,7,2024-08-01,Quarterly,10,Active,2025-05-01,2000
SIP000043,INV00612,F007,2000,8,2023-07-01,Monthly,25,Paused,2025-07-01,10000
SIP000044,INV01196,F004,3000,27,2023-11-01,Monthly,13,Active,2024-11-01,2000
SIP000045,INV00486,F002,3000,1,2022-12-01,Monthly,48,Active,2026-11-01,5000
SIP000046,INV00710,F003,3000,1,2024-06-01,Monthly,45,Paused,2028-02-01,500
SIP000047,INV00356,F009,1000,8,2022-10-01,Monthly,12,Active,2023-09-01,10000
SIP000048,INV01551,F007,2000,8,2023-09-01,Quarterly,12,Active,2024-08-01,5000
SIP000049,INV01484,F002,1000,25,2025-06-01,Quarterly,47,Active,2029-04-01,500
SIP000050,INV00209,F001,500,10,2022-01-01,Monthly,30,Active,2024-06-01,10000
SIP000051,INV01700,F008,5000,17,2024-07-01,Quarterly,40,Active,2027-10-01,1000
SIP000052,INV00343,F005,5000,18,2023-08-01,Monthly,22,Active,2025-05-01,500
SIP000053,INV01288,F003,3000,3,2022-03-01,Weekly,19,Paused,2023-09-01,1000
SIP000054,INV00271,F005,500,14,2025-05-01,Monthly,39,Paused,2028-07-01,2000
SIP000055,INV00628,F006,2000,5,2022-05-01,Monthly,32,Active,2024-12-01,500
SIP000056,INV01421,F005,2000,19,2023-09-01,Monthly,22,Active,2025-06-01,500
SIP000057,INV01362,F008,2000,18,2023-04-01,Monthly,17,Active,2024-08-01,1000
SIP000058,INV00342,F004,1000,18,2024-11-01,Monthly,7,Cancelled,2025-05-01,10000
SIP000059,INV00661,F007,5000,9,2024-11-01,Quarterly,23,Active,2026-09-01,10000
SIP000060,INV01159,F001,10000,13,2022-05-01,Quarterly,18,Active,2023-10-01,2000
SIP000061,INV00631,F010,10000,8,2023-09-01,Monthly,27,Active,2025-11-01,500
SIP000062,INV01666,F009,5000,28,2025-01-01,Monthly,44,Cancelled,2028-08-01,500
SIP000063,INV00596,F003,10000,8,2023-08-01,Monthly,15,Active,2024-10-01,2000
SIP000064,INV00257,F003,1000,15,2022-02-01,Monthly,33,Active,2024-10-01,500
SIP000065,INV01363,F006,1000,25,2022-09-01,Weekly,4,Active,2022-12-01,2000
SIP000066,INV01448,F008,5000,18,2023-01-01,Monthly,43,Cancelled,2026-07-01,10000
SIP000067,INV00712,F003,2000,10,2023-01-01,Monthly,18,Active,2024-06-01,10000
SIP000068,INV01626,F009,5000,21,2022-09-01,Weekly,13,Paused,2023-09-01,10000
SIP000069,INV01703,F007,10000,7,2024-06-01,Monthly,20,Active,2026-01-01,5000
SIP000070,INV01334,F009,3000,26,2022-07-01,Monthly,4,Paused,2022-10-01,1000
SIP000071,INV01041,F006,10000,3,2024-11-01,Monthly,32,Paused,2027-06-01,500
SIP000072,INV00366,F007,1000,7,2023-06-01,Monthly,16,Active,2024-09-01,500
SIP000073,INV01052,F004,1000,2,2023-01-01,Monthly,35,Active,2025-11-01,10000
SIP000074,INV01962,F004,10000,20,2022-12-01,Monthly,29,Active,2025-04-01,500
SIP000075,INV01400,F004,2000,5,2022-08-01,Monthly,12,Cancelled,2023-07-01,10000
SIP000076,INV00695,F004,5000,18,2023-10-01,Monthly,41,Paused,2027-02-01,500
SIP000077,INV01766,F002,10000,19,2023-07-01,Monthly,13,Active,2024-07-01,500
SIP000078,INV00330,F001,2000,24,2023-09-01,Monthly,29,Active,2026-01-01,5000
SIP000079,INV01757,F007,5000,27,2024-02-01,Monthly,25,Active,2026-02-01,2000
SIP000080,INV00873,F008,500,1,2022-07-01,Monthly,5,Active,2022-11-01,5000
SIP000081,INV01369,F004,3000,1,2023-06-01,Monthly,43,Active,2026-12-01,500
SIP000082,INV00821,F002,5000,10,2023-05-01,Quarterly,18,Cancelled,2024-10-01,10000
SIP000083,INV01422,F004,2000,9,2024-10-01,Monthly,14,Cancelled,2025-11-01,5000
SIP000084,INV01961,F001,500,26,2023-01-01,Monthly,48,Active,2026-12-01,500
SIP000085,INV01954,F009,10000,4,2023-10-01,Monthly,35,Active,2026-08-01,10000
SIP000086,INV00336,F005,500,5,2024-11-01,Monthly,38,Active,2027-12-01,10000
SIP000087,INV00371,F010,1000,20,2024-10-01,Monthly,46,Active,2028-07-01,2000
SIP000088,INV00756,F010,5000,8,2023-03-01,Monthly,46,Active,2026-12-01,500
SIP000089,INV01133,F004,500,8,2022-08-01,Monthly,27,Active,2024-10-01,2000
SIP000090,INV01047,F002,3000,24,2024-10-01,Monthly,28,Active,2027-01-01,500
SIP000091,INV00015,F003,1000,22,2024-08-01,Monthly,22,Active,2026-05-01,10000
SIP000092,INV01678,F004,5000,12,2022-03-01,Monthly,21,Active,2023-11-01,10000
SIP000093,INV00327,F004,1000,3,2025-03-01,Monthly,8,Active,2025-10-01,5000
SIP000094,INV01502,F010,10000,10,2024-01-01,Monthly,32,Active,2026-08-01,1000
SIP000095,INV01137,F002,2000,18,2025-01-01,Monthly,33,Active,2027-09-01,1000
SIP000096,INV00072,F004,1000,8,2025-05-01,Monthly,27,Paused,2027-07-01,2000
SIP000097,INV00294,F003,5000,18,2023-11-01,Monthly,13,Paused,2024-11-01,10000
SIP000098,INV00626,F005,1000,7,2023-11-01,Monthly,37,Active,2026-11-01,1000
SIP000099,INV01705,F004,3000,1,2022-02-01,Monthly,22,Cancelled,2023-11-01,1000
SIP000100,INV01711,F007,500,3,2023-12-01,Monthly,37,Paused,2026-12-01,1000
SIP000101,INV01911,F004,3000,25,2024-03-01,Monthly,47,Active,2028-01-01,1000
SIP000102,INV00022,F005,3000,6,2023-08-01,Quarterly,15,Active,2024-10-01,10000
SIP000103,INV01774,F001,1000,28,2023-12-01,Monthly,32,Active,2026-07-01,5000
SIP000104,INV00814,F002,2000,15,2025-01-01,Quarterly,37,Active,2028-01-01,500
SIP000105,INV01534,F006,500,27,2022-01-01,Monthly,41,Paused,2025-05-01,1000
SIP000106,INV00749,F008,10000,5,2023-08-01,Quarterly,9,Active,2024-04-01,2000
SIP000107,INV00132,F009,10000,6,2023-09-01,Monthly,23,Active,2025-07-01,2000
SIP000108,INV01858,F005,10000,18,2022-12-01,Monthly,19,Active,2024-06-01,2000
SIP000109,INV01592,F001,5000,22,2024-07-01,Monthly,45,Cancelled,2028-03-01,10000
SIP000110,INV00238,F010,10000,3,2024-10-01,Quarterly,16,Active,2026-01-01,1000
SIP000111,INV01009,F001,10000,5,2023-06-01,Monthly,38,Active,2026-07-01,500
SIP000112,INV01461,F008,10000,2,2025-04-01,Monthly,18,Active,2026-09-01,2000
SIP000113,INV01934,F009,5000,2,2022-09-01,Monthly,36,Cancelled,2025-08-01,500
SIP000114,INV00410,F008,2000,22,2022-02-01,Monthly,47,Cancelled,2025-12-01,2000
SIP000115,INV01670,F008,10000,18,2024-09-01,Weekly,17,Active,2026-01-01,10000
SIP000116,INV01520,F002,500,12,2024-12-01,Monthly,5,Active,2025-04-01,1000
SIP000117,INV01859,F010,1000,11,2023-08-01,Monthly,9,Active,2024-04-01,5000
SIP000118,INV01786,F004,2000,18,2024-10-01,Monthly,2,Active,2024-11-01,500
SIP000119,INV00753,F010,2000,11,2024-12-01,Monthly,33,Active,2027-08-01,1000
SIP000120,INV00399,F001,2000,23,2023-08-01,Monthly,13,Active,2024-08-01,2000
SIP000121,INV01589,F004,500,12,2022-04-01,Monthly,16,Paused,2023-07-01,5000
SIP000122,INV00256,F001,500,7,2025-02-01,Monthly,18,Paused,2026-07-01,10000
SIP000123,INV01834,F009,10000,8,2024-05-01,Monthly,29,Paused,2026-09-01,500
SIP000124,INV00711,F002,3000,24,2022-05-01,Monthly,14,Active,2023-06-01,5000
SIP000125,INV00270,F005,5000,23,2024-07-01,Weekly,39,Active,2027-09-01,5000
SIP000126,INV00507,F006,1000,26,2023-01-01,Monthly,43,Active,2026-07-01,1000
SIP000127,INV01282,F005,500,7,2023-01-01,Monthly,17,Paused,2024-05-01,10000
SIP000128,INV01878,F001,10000,20,2022-09-01,Monthly,19,Active,2024-03-01,10000
SIP000129,INV01565,F005,1000,20,2023-02-01,Monthly,28,Active,2025-05-01,2000
SIP000130,INV01381,F008,5000,1,2023-08-01,Monthly,4,Active,2023-11-01,10000
SIP000131,INV01867,F003,2000,6,2023-01-01,Monthly,48,Cancelled,2026-12-01,5000
SIP000132,INV01619,F009,10000,22,2024-05-01,Monthly,23,Paused,2026-03-01,2000
SIP000133,INV01180,F005,500,11,2025-02-01,Monthly,3,Active,2025-04-01,10000
SIP000134,INV01889,F003,3000,16,2025-01-01,Monthly,36,Active,2027-12-01,500
SIP000135,INV01814,F008,10000,19,2022-08-01,Monthly,14,Active,2023-09-01,2000
SIP000136,INV00370,F003,2000,10,2024-07-01,Monthly,23,Active,2026-05-01,1000
SIP000137,INV01816,F001,500,17,2025-01-01,Monthly,42,Active,2028-06-01,2000
SIP000138,INV01891,F009,10000,1,2023-06-01,Monthly,2,Active,2023-07-01,2000
SIP000139,INV00716,F001,1000,6,2022-09-01,Monthly,34,Active,2025-06-01,1000
SIP000140,INV00543,F010,1000,22,2023-04-01,Monthly,5,Active,2023-08-01,10000
SIP000141,INV01556,F003,5000,22,2024-01-01,Quarterly,17,Cancelled,2025-05-01,1000
SIP000142,INV00354,F007,2000,4,2022-08-01,Monthly,23,Active,2024-06-01,2000
SIP000143,INV00378,F008,500,12,2023-08-01,Monthly,4,Active,2023-11-01,10000
SIP000144,INV01602,F008,2000,3,2024-09-01,Monthly,35,Active,2027-07-01,5000
SIP000145,INV01907,F007,2000,28,2023-04-01,Monthly,37,Active,2026-04-01,5000
SIP000146,INV01983,F005,5000,15,2022-11-01,Monthly,3,Active,2023-01-01,1000
SIP000147,INV00184,F009,10000,20,2023-11-01,Monthly,19,Paused,2025-05-01,2000
SIP000148,INV01937,F004,5000,15,2025-06-01,Monthly,30,Active,2027-11-01,500
SIP000149,INV01566,F001,10000,4,2022-06-01,Monthly,29,Cancelled,2024-10-01,1000
SIP000150,INV00744,F009,3000,12,2024-09-01,Monthly,45,Paused,2028-05-01,1000
SIP000151,INV01494,F008,5000,8,2024-08-01,Quarterly,22,Active,2026-05-01,2000
SIP000152,INV00708,F005,3000,5,2025-02-01,Quarterly,12,Active,2026-01-01,10000
SIP000153,INV01476,F008,2000,5,2025-04-01,Monthly,20,Active,2026-11-01,5000
SIP000154,INV01964,F005,500,18,2024-01-01,Quarterly,6,Active,2024-06-01,1000
SIP000155,INV00715,F006,10000,11,2022-06-01,Monthly,20,Active,2024-01-01,10000
SIP000156,INV01885,F005,2000,11,2022-05-01,Quarterly,33,Active,2025-01-01,2000
SIP000157,INV01787,F001,2000,17,2023-12-01,Monthly,21,Active,2025-08-01,2000
SIP000158,INV00789,F005,10000,13,2024-07-01,Monthly,37,Active,2027-07-01,1000
SIP000159,INV01103,F002,5000,16,2022-02-01,Monthly,43,Active,2025-08-01,2000
SIP000160,INV00165,F005,10000,6,2025-02-01,Monthly,38,Active,2028-03-01,5000
SIP000161,INV00602,F006,10000,13,2024-02-01,Weekly,47,Active,2027-12-01,2000
SIP000162,INV00245,F005,1000,22,2023-10-01,Monthly,18,Active,2025-03-01,2000
SIP000163,INV00377,F005,1000,21,2022-10-01,Quarterly,16,Active,2024-01-01,2000
SIP000164,INV01627,F007,1000,12,2025-05-01,Weekly,20,Active,2026-12-01,500
SIP000165,INV01135,F004,5000,18,2024-08-01,Monthly,24,Active,2026-07-01,500
SIP000166,INV01540,F008,1000,25,2024-11-01,Quarterly,4,Active,2025-02-01,10000
SIP000167,INV00070,F005,10000,18,2024-11-01,Monthly,17,Active,2026-03-01,500
SIP000168,INV00476,F001,500,14,2022-11-01,Monthly,43,Active,2026-05-01,500
SIP000169,INV01577,F005,500,3,2024-03-01,Weekly,38,Active,2027-04-01,1000
SIP000170,INV01639,F003,500,7,2022-02-01,Monthly,38,Active,2025-03-01,2000
SIP000171,INV01524,F002,2000,2,2022-02-01,Monthly,13,Active,2023-02-01,10000
SIP000172,INV01298,F007,10000,25,2022-02-01,Monthly,46,Active,2025-11-01,10000
SIP000173,INV01264,F001,10000,25,2024-05-01,Weekly,24,Active,2026-04-01,5000
SIP000174,INV01611,F003,5000,28,2024-06-01,Monthly,30,Active,2026-11-01,1000
SIP000175,INV00915,F006,2000,17,2022-09-01,Monthly,8,Active,2023-04-01,10000
SIP000176,INV00226,F009,5000,11,2023-02-01,Monthly,41,Cancelled,2026-06-01,5000
SIP000177,INV00580,F010,2000,3,2025-04-01,Quarterly,10,Active,2026-01-01,10000
SIP000178,INV00686,F006,1000,20,2024-04-01,Monthly,15,Cancelled,2025-06-01,1000
SIP000179,INV00755,F008,3000,26,2024-11-01,Quarterly,32,Paused,2027-06-01,1000
SIP000180,INV01888,F001,500,26,2023-11-01,Monthly,28,Active,2026-02-01,10000
SIP000181,INV00170,F008,10000,11,2024-10-01,Weekly,44,Active,2028-05-01,10000
SIP000182,INV01516,F003,3000,17,2025-02-01,Monthly,15,Paused,2026-04-01,2000
SIP000183,INV00690,F008,10000,8,2024-07-01,Monthly,31,Active,2027-01-01,10000
SIP000184,INV01352,F005,10000,6,2023-05-01,Monthly,31,Active,2025-11-01,5000
SIP000185,INV00754,F002,3000,9,2023-08-01,Monthly,36,Active,2026-07-01,1000
SIP000186,INV00660,F008,2000,3,2024-05-01,Monthly,26,Cancelled,2026-06-01,500
SIP000187,INV01906,F007,10000,2,2023-01-01,Monthly,3,Active,2023-03-01,500
SIP000188,INV00372,F002,10000,12,2024-04-01,Quarterly,25,Active,2026-04-01,1000
SIP000189,INV01854,F005,1000,11,2023-10-01,Monthly,36,Paused,2026-09-01,1000
SIP000190,INV00352,F010,5000,16,2023-09-01,Monthly,24,Cancelled,2025-08-01,10000
SIP000191,INV00428,F002,10000,8,2022-06-01,Monthly,32,Active,2025-01-01,2000
SIP000192,INV01893,F003,3000,23,2022-03-01,Monthly,47,Active,2026-01-01,2000
SIP000193,INV00672,F001,2000,2,2023-02-01,Weekly,13,Active,2024-02-01,500
SIP000194,INV01748,F004,2000,16,2023-06-01,Monthly,2,Paused,2023-07-01,1000
SIP000195,INV00373,F003,1000,6,2023-07-01,Monthly,11,Active,2024-05-01,1000
SIP000196,INV01183,F001,500,28,2023-03-01,Monthly,20,Paused,2024-10-01,1000
SIP000197,INV00911,F008,500,21,2022-08-01,Monthly,20,Active,2024-03-01,10000
SIP000198,INV00704,F006,2000,9,2022-04-01,Monthly,46,Active,2026-01-01,2000
SIP000199,INV01887,F010,2000,28,2022-06-01,Monthly,39,Active,2025-08-01,1000
SIP000200,INV01721,F007,10000,1,2025-03-01,Monthly,45,Active,2028-11-01,2000
SIP000201,INV00605,F003,1000,8,2023-03-01,Monthly,4,Cancelled,2023-06-01,10000
SIP000202,INV00402,F004,3000,10,2022-02-01,Monthly,7,Active,2022-08-01,2000
SIP000203,INV01693,F002,5000,26,2022-05-01,Monthly,42,Cancelled,2025-10-01,1000
SIP000204,INV00158,F005,2000,5,2022-03-01,Monthly,7,Active,2022-09-01,10000
SIP000205,INV00941,F007,1000,2,2022-03-01,Monthly,11,Active,2023-01-01,2000
SIP000206,INV01973,F002,1000,20,2022-12-01,Monthly,33,Active,2025-08-01,1000
SIP000207,INV00958,F008,1000,14,2025-02-01,Quarterly,4,Active,2025-05-01,2000
SIP000208,INV00559,F008,3000,23,2022-11-01,Monthly,6,Active,2023-04-01,1000
SIP000209,INV00284,F008,2000,20,2022-07-01,Monthly,26,Active,2024-08-01,2000
SIP000210,INV01240,F004,500,14,2023-02-01,Monthly,42,Active,2026-07-01,2000
SIP000211,INV00297,F002,5000,1,2024-11-01,Monthly,7,Active,2025-05-01,10000
SIP000212,INV01810,F008,3000,1,2025-01-01,Quarterly,24,Active,2026-12-01,1000
SIP000213,INV01061,F008,3000,11,2024-12-01,Monthly,32,Active,2027-07-01,10000
SIP000214,INV00536,F001,500,23,2024-03-01,Quarterly,10,Active,2024-12-01,10000
SIP000215,INV01720,F005,500,5,2024-09-01,Monthly,28,Active,2026-12-01,1000
SIP000216,INV01423,F009,3000,20,2022-04-01,Monthly,3,Paused,2022-06-01,500
SIP000217,INV01087,F005,3000,18,2023-01-01,Weekly,27,Active,2025-03-01,2000
SIP000218,INV01618,F003,1000,28,2023-10-01,Monthly,7,Active,2024-04-01,10000
SIP000219,INV00381,F010,3000,1,2023-11-01,Quarterly,47,Active,2027-09-01,2000
SIP000220,INV01328,F002,5000,24,2023-11-01,Monthly,15,Active,2025-01-01,500
SIP000221,INV00405,F001,1000,9,2024-11-01,Monthly,6,Active,2025-04-01,2000
SIP000222,INV01672,F010,3000,4,2023-06-01,Monthly,25,Active,2025-06-01,2000
SIP000223,INV00641,F004,500,6,2022-04-01,Monthly,11,Paused,2023-02-01,1000
SIP000224,INV00397,F004,1000,23,2025-06-01,Monthly,24,Active,2027-05-01,500
SIP000225,INV01600,F004,500,8,2023-08-01,Monthly,38,Active,2026-09-01,2000
SIP000226,INV00909,F006,10000,13,2024-02-01,Monthly,12,Cancelled,2025-01-01,10000
SIP000227,INV01374,F010,10000,21,2025-03-01,Monthly,12,Cancelled,2026-02-01,5000
SIP000228,INV00571,F002,3000,20,2024-05-01,Monthly,3,Active,2024-07-01,1000
SIP000229,INV00222,F003,1000,27,2025-02-01,Monthly,23,Active,2026-12-01,500
SIP000230,INV01340,F007,3000,25,2023-07-01,Monthly,7,Active,2024-01-01,1000
SIP000231,INV00851,F009,1000,9,2024-03-01,Monthly,36,Active,2027-02-01,2000
SIP000232,INV00480,F003,1000,24,2022-01-01,Monthly,20,Active,2023-08-01,10000
SIP000233,INV00250,F004,2000,8,2024-10-01,Monthly,16,Active,2026-01-01,5000
SIP000234,INV01219,F007,2000,11,2024-01-01,Monthly,11,Active,2024-11-01,500
SIP000235,INV00452,F008,2000,4,2024-04-01,Monthly,3,Active,2024-06-01,5000
SIP000236,INV00163,F006,3000,3,2023-05-01,Monthly,5,Active,2023-09-01,500
SIP000237,INV01798,F010,2000,25,2022-11-01,Monthly,38,Active,2025-12-01,5000
SIP000238,INV00887,F007,500,9,2023-04-01,Monthly,35,Active,2026-02-01,1000
SIP000239,INV01319,F003,500,7,2024-05-01,Monthly,11,Active,2025-03-01,500
SIP000240,INV00642,F009,5000,26,2024-10-01,Monthly,29,Active,2027-02-01,1000
SIP000241,INV00852,F008,3000,1,2023-03-01,Quarterly,14,Paused,2024-04-01,5000
SIP000242,INV01501,F002,2000,19,2024-06-01,Monthly,13,Active,2025-06-01,500
SIP000243,INV01719,F006,5000,28,2022-01-01,Monthly,19,Active,2023-07-01,500
SIP000244,INV00943,F007,1000,14,2023-04-01,Quarterly,21,Active,2024-12-01,10000
SIP000245,INV00528,F007,3000,12,2023-09-01,Quarterly,10,Cancelled,2024-06-01,2000
SIP000246,INV00858,F006,1000,7,2024-03-01,Monthly,12,Active,2025-02-01,2000
SIP000247,INV01486,F001,5000,7,2022-09-01,Monthly,22,Cancelled,2024-06-01,2000
SIP000248,INV01601,F006,5000,4,2023-04-01,Monthly,17,Active,2024-08-01,2000
SIP000249,INV01723,F006,2000,19,2022-04-01,Monthly,14,Active,2023-05-01,10000
SIP000250,INV00891,F001,5000,14,2022-12-01,Quarterly,46,Active,2026-09-01,5000
SIP000251,INV00589,F006,5000,14,2024-10-01,Monthly,14,Active,2025-11-01,2000
SIP000252,INV01303,F001,2000,14,2023-10-01,Weekly,24,Cancelled,2025-09-01,5000
SIP000253,INV00691,F001,10000,22,2022-04-01,Quarterly,47,Active,2026-02-01,5000
SIP000254,INV01116,F007,3000,6,2024-09-01,Quarterly,22,Active,2026-06-01,5000
SIP000255,INV01152,F010,5000,17,2023-12-01,Monthly,41,Paused,2027-04-01,2000
SIP000256,INV00301,F007,1000,26,2023-09-01,Monthly,38,Active,2026-10-01,5000
SIP000257,INV01564,F003,2000,17,2024-06-01,Monthly,26,Paused,2026-07-01,500
SIP000258,INV01933,F001,5000,14,2023-10-01,Quarterly,12,Active,2024-09-01,2000
SIP000259,INV01301,F004,3000,18,2024-09-01,Quarterly,16,Active,2025-12-01,5000
SIP000260,INV01056,F010,1000,28,2023-03-01,Monthly,34,Active,2025-12-01,500
SIP000261,INV01314,F002,1000,4,2022-07-01,Monthly,25,Active,2024-07-01,1000
SIP000262,INV00717,F003,1000,11,2024-03-01,Monthly,7,Cancelled,2024-09-01,500
SIP000263,INV01373,F003,10000,22,2023-07-01,Monthly,8,Active,2024-02-01,10000
SIP000264,INV01738,F006,10000,22,2024-03-01,Monthly,34,Paused,2026-12-01,1000
SIP000265,INV01292,F006,1000,8,2023-03-01,Monthly,11,Active,2024-01-01,10000
SIP000266,INV01951,F005,5000,19,2024-05-01,Quarterly,32,Active,2026-12-01,500
SIP000267,INV00694,F002,2000,6,2022-12-01,Monthly,4,Active,2023-03-01,500
SIP000268,INV01941,F005,5000,8,2024-08-01,Monthly,44,Active,2028-03-01,10000
SIP000269,INV01860,F002,5000,25,2023-12-01,Monthly,29,Active,2026-04-01,500
SIP000270,INV00841,F008,2000,6,2024-09-01,Monthly,2,Active,2024-10-01,1000
SIP000271,INV00973,F004,2000,18,2024-06-01,Monthly,11,Active,2025-04-01,1000
SIP000272,INV00392,F004,3000,28,2022-03-01,Monthly,29,Active,2024-07-01,2000
SIP000273,INV00719,F002,500,3,2025-06-01,Weekly,32,Active,2028-01-01,500
SIP000274,INV00635,F004,1000,15,2023-09-01,Quarterly,10,Cancelled,2024-06-01,10000
SIP000275,INV01849,F010,1000,10,2022-01-01,Monthly,37,Paused,2025-01-01,10000
SIP000276,INV01804,F002,1000,14,2024-05-01,Monthly,20,Cancelled,2025-12-01,1000
SIP000277,INV01691,F001,500,28,2022-07-01,Monthly,18,Active,2023-12-01,10000
SIP000278,INV01165,F006,1000,26,2025-04-01,Monthly,17,Paused,2026-08-01,10000
SIP000279,INV00367,F005,2000,2,2023-04-01,Monthly,17,Active,2024-08-01,10000
SIP000280,INV01802,F006,3000,23,2025-05-01,Monthly,46,Active,2029-02-01,5000
SIP000281,INV01325,F006,2000,7,2025-01-01,Monthly,7,Paused,2025-07-01,1000
SIP000282,INV00786,F007,3000,5,2023-10-01,Monthly,4,Active,2024-01-01,1000
SIP000283,INV01440,F005,5000,14,2025-05-01,Monthly,46,Active,2029-02-01,1000
SIP000284,INV00285,F009,5000,15,2023-04-01,Monthly,38,Active,2026-05-01,1000
SIP000285,INV01763,F002,5000,28,2022-10-01,Monthly,23,Active,2024-08-01,10000
SIP000286,INV00707,F006,2000,6,2024-01-01,Quarterly,38,Active,2027-02-01,5000
SIP000287,INV00991,F004,3000,28,2022-05-01,Monthly,3,Active,2022-07-01,1000
SIP000288,INV01205,F004,2000,8,2022-02-01,Monthly,46,Active,2025-11-01,5000
SIP000289,INV00462,F009,2000,4,2025-04-01,Monthly,13,Active,2026-04-01,10000
SIP000290,INV01093,F002,5000,13,2023-09-01,Monthly,26,Active,2025-10-01,5000
SIP000291,INV01523,F009,5000,5,2025-03-01,Quarterly,1,Active,2025-03-01,5000
SIP000292,INV01822,F010,2000,16,2024-07-01,Monthly,7,Active,2025-01-01,1000
SIP000293,INV00764,F008,5000,20,2022-10-01,Monthly,33,Active,2025-06-01,1000
SIP000294,INV00513,F002,3000,11,2022-03-01,Monthly,39,Active,2025-05-01,10000
SIP000295,INV00363,F009,3000,7,2023-09-01,Monthly,43,Paused,2027-03-01,5000
SIP000296,INV00333,F003,10000,18,2022-07-01,Monthly,44,Cancelled,2026-02-01,1000
SIP000297,INV00969,F005,3000,12,2022-11-01,Monthly,34,Paused,2025-08-01,500
SIP000298,INV01970,F009,3000,23,2024-04-01,Monthly,2,Active,2024-05-01,5000
SIP000299,INV01189,F005,3000,28,2025-03-01,Monthly,36,Active,2028-02-01,2000
